# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9830273F	Pencet ~m~~widget_nitro~ buat mengaktifkan nitro.
STL2_DA	D2BE8EA2	Ini tempatnya!
STL2_DB	4BB7DF18	Ayo gaskan, bro (*holmes*).
STL2_DC	3CB0EF8E	Ini dia tempatnya, CJ!
STL2_DD	A2D47A2D	Mobil-mobilnya ada di lantai atas!
STL2_DE	D5D34ABB	Mobil-mobilnya ada di lantai dua.
STL2_DF	4CDA1B01	Mobilnya ada di ruang pameran lantai dua.
STL2_DH	AB623606	Apaan? Gimana cara kita menurunkan mobil-mobil itu?
STL2_DJ	456C572A	Lantai dua? Taik!
STL2_DK	326B67BC	Ah mantap! Kenapa kagak ada hal yang pernah berjalan gampang sih?
STL2_EA	CBA5BFE3	Ada yang bisa saya bantu buat kalian berdua, eerr, para tuan?
STL2_EB	52ACEE59	Yoi, lu bisa ngebantu kita pake cara pergi melayani keparat lainnya sana.
STL2_EC	25ABDECF	Y- yoi, kayaknya itu ide yang bagus!
STL2_ED	BBCF4B6C	Sip lah, CJ, waktunya kita aksi!
STL2_EE	CCC87BFA	Ini namanya permainan mengejar pemimpin, lu mending tempel terus jangan ketinggalan!
STL2_EF	55C12A40	Ah, lu bener-bener orang gila, bro (*ese*)!
STL2_FA	E088EC20	Woy, CJ, nih walkie talkie berfungsi kagak?
STL2_FB	7981BD9A	Yoi, suara lu kedengeran jelas banget!
STL2_FC	0E868D0C	Ayolah, CJ, coba liat apa lu bisa menempel kecepatan Cesar Vialpando!
STL2_FD	90E218AF	Balapan mendahului trem naik ke atas bukit!
STL2_FE	E7E52839	Gampang banget kek makan kue cokelat!
STL2_FF	7EEC7983	Nih pengemudi trem pasti lagi ngompol di celana, bro (*holmes*)!
STL2_FG	09EB4915	Halo polisi, dari mana aja kalian baru muncul, hah?
STL2_FH	99545484	Woy, CJ, liat nih ... NITRO!
STL2_FJ	775A35A8	Ikutin gue turun bukit, bro (*holmes*)!
STL2_FK	005D053E	Ada sepeda motor di jalanan ... awas!
STL2_FL	9E39909D	Oke, Cesar, udah cukup hura-huranya.
STL2_FM	E93EA00B	Ayo kita bawa mobil-mobil ini balik ke bengkel garasi!
STL2_FN	7037F1B1	Oke, CJ, woy, gue tahu rute jalan pintas!
STL2_FO	0730C127	Halo. Polisi, muncul lagi kalian para bego (*idiotas*)?
STL2_FP	8A38CCD2	Minggir dari jalanan bangsat!
STL2_FQ	FD3FFC44	Ya Tuhannnn TAIKKKKK!
STL2_FR	6436ADFE	Bangsat, bro (*holmes*), lu ngeliat hal itu kagak?
STL2_GA	F993DD61	Bisa kagak kita mikirin cara balik
STL2_GB	609A8CDB	sebelum gue berakhir tewas di dalam pesta panggangan kecelakaan mobil?
STL2_HA	7E0BC1AE	Pasti lah, bro (*holmes*).
STL2_HB	E7029014	Gue rasa kita udah berhasil menghilangkan jejak mereka.
STL2_HC	9005A082	Ada jalan pintas ke arah sini!
STL2_HD	0E613521	Uh-oh, ada polisi lagi!
STL2_HE	796605B7	MUNDUR, BRO (*HOLMES*), MUNDUR! MUNDUR!
STL2_HF	E06F540D	Oke, kita udah aman.
STL2_HG	9768649B	Sampai ketemu balik di bengkel garasi, CJ!
