# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



MCES10A	7C1CF3DD	CJ.
SYN1_JL	E66730C1	T-Bone sedang merencanakan sesuatu...
SYN1_JM	91600057	Lihat si badut itu!
SYN1_JN	086951ED	Ha ha! Itu gaya pampas sejati banget.
SYN1_JO	7F6E617B	Apa peran dia di sini, dia kan nggak beli barang?
SYN1_JP	F2666C8E	Sekoper penuh kokain (*yay*) masing-masing...
SYN1_JQ	85615C18	Kawan (*Holmes*), perhatikan si bule (*gringo*) itu.
SYN1_JR	1C680DA2	Oh yoi, dia diam saja dari tadi.
SYN1_JS	6B6F3D34	Bisa jadi cuma sopir,
SYN1_JT	F50BA897	Tapi aku nggak suka melihat gerak-geriknya.
SYN1_JU	820C9801	Sepertinya dia tahu kita mengawasi.
SYN1_JV	1B05C9BB	Kita kan nggak bisa dibilang tidak mencolok, ya.
SYN1_JW	6C02F92D	Cepatlah sedikit, kawan (*holmes*)!
SYN1_JX	FCBDE4BC	SIALAN, dia beneran tahu kita mengawasi!
SYN1_JY	8BBAD42A	Dan kita jadi sasaran empuk!
SYN1_KA	81CD7D3D	Duh celaka (*Pope crap*)!
SYN1_KB	18C42C87	Aku mau coba mendaratkan benda ini sebelum meledak!
SYN1_LA	CE8CEBFA	Mereka pasti sudah lama kabur sekarang.
SYN1_LB	5785BA40	Kita sebaiknya berpencar dan cabut dari sini. Aku bakal ketemu kamu lagi di bengkel garasi!
SYN1_LC	20828AD6	Mantap (*Coolio*), kita sudah dapat apa yang kita cari.
SYN1_YA	F9390DEE	Aku nggak suka melihat tampang orang itu.
SYN1_YB	60305C54	Ah sial, sepertinya mereka mergokin kita.
SYN1_YC	17376CC2	Ya kita kan memang nggak mencolok berada di atas sini.
SYN1_YD	8953F961	Lagi pula, apa yang mau dia lakukan, hah, lempar batu ke arah kita?
SYN1_YE	FE54C9F7	Oh sial! OH SIAL!
SYN1_YF	675D984D	Bawa kita keluar dari sini!
SYN1_YG	105AA8DB	Duh celaka (*Pope crap*)!
SYN1_YH	80E5B54A	Kejadian tadi benar-benar gila!
SYN1_YJ	6EEBD466	Kita sebaiknya berpencar dan cabut dari sini. Aku bakal ketemu kamu lagi di bengkel garasi!
SYN1_YK	19ECE4F0	Keren (*Coolio*). Lagian kita sudah dapat apa yang kita cari.
SYN1_ZA	D2145E2D	Itu benar-benar mobil Ballas kita.
SYN1_ZB	4B1D0F97	Siapa yang ada di kursi belakang itu?
SYN1_ZC	3C1A3F01	Ryder, kau si pemadat sialan!
SYN1_ZD	A27EAAA2	Kenapa dia malah gabung sama anak-anak Ballas?
SYN1_ZE	D5799A34	Urusan bisnis ini jauh lebih besar daripada sekadar geng, bro (*ese*).
SYN1_ZF	4C70CB8E	Seseorang keluar dari pintu belakang rumah makan!
SYN1_ZG	3B77FB18	Siapa orang ini, Aztecas? Vagos?
SYN1_ZH	ABC8E689	Bukannya keduanya, kawan (*holmes*), dia anak San Fierro Rifa!
SYN1_ZJ	45C687A5	Ryder keluar dari mobil!
SYN1_ZK	32C1B733	Ryder, si pelacur kecil!
SYN1_ZL	ACA52290	Itu pasti uang tunainya...
SYN1_ZM	DBA21206	Mereka licik juga ya. Nggak ada transaksi atau hal mencurigakan apa pun.
SYN1_ZN	42AB43BC	Terus sekarang gimana? Cuma gitu doang?
SYN1_ZO	35AC732A	Woy, kawan (*holmes*), periksa mobil van itu!
SYN1_ZP	B8A47EDF	Orang ini benar-benar menganggap serius dirinya!
SYN1_ZQ	CFA34E49	Itu T-Bone Mendez.
SYN1_ZR	56AA1FF3	Itu kurirnya bawa pasokan kokain segar buat Ryder dan kawan-kawan barunya.
SYN1_ZS	21AD2F65	Siapa sebenarnya semua orang ini?
SYN1_ZT	BFC9BAC6	Sepertinya mereka anak-anak San Fierro Rifa yang lain.
SYN1_ZU	C8CE8A50	Keamanan mereka rapat banget!
SYN1_ZV	51C7DBEA	Aku tadi nggak ngeliat gerombolan itu, kamu lihat?
SYN1_ZW	26C0EB7C	Ini mah lebih dari sekadar preman jualan barang. Ini organisasi kriminal yang serius.
SYN1_ZX	B67FF6ED	Berapa banyak sih badut di tempat ini?
SYN1_ZY	C178C67B	Aku langsung tahu gembong pelacur (*pimp*) pas ngeliatnya!
SYN1_ZZ	587197C1	Woy, siapa si bule (*gringo*) itu?
