# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	D95F48E9	Buat melihat sekeliling di atas motor gunakan kontrol kamera. Buat menembak pencet ~m~~widget_attack~.
SMO4_FD	D6F06EF0	Taik, bro, mereka mengejar kita pake truk kontainer!
SMO4_FE	A1F75E66	Kagak usah laporin ke gue, bikin dia keluar dari jalanan! Tembak ban/mesinnya!
SMO4_FF	38FE0FDC	Sialan, liat tuh padatnya lalu lintas - MINGGIR KANAN KIRI!
SMO4_FG	4FF93F4A	Gue mau lewat nih!
SMO4_FH	DF4622DB	Woy, jangan cuma pencet klakson doang! Minggir dari jalanan bangsat!
SMO4_FJ	314843F7	Pegangan yang kenceng, sayang!
SMO4_FK	464F7361	Ah Smoke,! Kagakkkkkk!
SMO4_FL	D82BE6C2	Ah, mereka menabrak bus!
SMO4_FM	AF2CD654	Ha,ha ha, gue kagak bakal pernah menghina transportasi umum lagi!
SMO4_GA	BF81AB3E	Sialan, jalanan diblokir!
SMO4_GB	2688FA84	Ah Smoke, orang-orang ini terorganisir banget. Ada hal yang kagak lu kasih tahu ke gue kan, bro!
SMO4_GC	518FCA12	Lu kagak ngasih tahu gue segalanya di sini!
SMO4_GD	CFEB5FB1	Dengerin, Carl, yang gue tahu cuma mereka emosi parah sama kita sekarang!
SMO4_GE	B8EC6F27	Tapi tahan dulu, gue punya ide.
SMO4_GF	21E53E9D	Smoke, apa yang lagi lu pikirin? Saluran pengendali banjir itu jalan buntu, bro!
SMO4_GG	56E20E0B	Persetan sama itu, kita harus menghilangkan mobil-mobil itu, kagak usah khawatir soal itu.
SMO4_GH	C65D139A	Gue tahu jalan keluar, lewat atas ke arah Grove Street.
SMO4_GJ	285372B6	Terowongan saluran pembuangan lama? Oh bro....
SMO4_GK	5F544220	Smoke, ada motor lagi!
SMO4_GL	C130D783	Masih ada motor yang nempel ke kita, bro!
SMO4_GM	B637E715	Oh bro, mobil-mobil itu nemuin tanjakan!
SMO4_GN	2F3EB6AF	Bro, berhenti mengeluh terus tembak sebanyak mungkin para keparat itu!
SMO4_GO	58398639	Smoke, ada lebih banyak mobil yang datang dari sebelah kiri!
SMO4_GP	D5318BCC	Kagak usah laporin ke gue, tembak!
SMO4_HA	3819B7F1	Oh taik, sekarang truknya nemuin kita lagi!
SMO4_HB	A110E64B	Bro, berhenti berpikir negatif gitu kenapa!
SMO4_HC	D617D6DD	Fokus ke kabar baiknya!
SMO4_HD	4873437E	Contohnya apaan?
SMO4_HE	3F7473E8	Kita belum tewas, sama jari pelatuk lu masih fungsi, bego!
SMO4_HF	A67D2252	Gue rasa kotak roda gigi (gearbox) motor ini hancur! Gue kagak bisa dapet kecepatan!
SMO4_HH	41C50F55	Yoi, siapa yang berpikir negatif sekarang, lonte?
SMO4_HJ	AFCB6E79	Gue paham maksud lu, gue bakal bungkam mulut mulai sekarang.
SMO4_HK	D8CC5EEF	Rencana mereka apaan sih, Carl?
SMO4_HL	46A8CB4C	Jangan nanya ke gue, gue cuma turis di sini!
SMO4_HM	31AFFBDA	Rencana mereka ada sesuatu...
SMO4_HN	A8A6AA60	OH TAIK!
SMO4_HO	DFA19AF6	Ini datang satu lagi!
SMO4_HP	52A99703	Pegangan!
SMO4_HQ	25AEA795	Ambil jalur tinggi!
SMO4_HR	BCA7F62F	Hantam tanjakan di sebelah kanan itu!
SMO4_HS	CBA0C6B9	Bawa kita naik ke tanjakan itu!
SMO4_HT	55C4531A	Siap gaskan, sayang!
SMO4_HU	22C3638C	Gue paham, gue paham, sayang!
SMO4_HV	BBCA3236	Siap Siap!
SMO4_JA	0A2FD573	Para bego itu menghancurkan total truk mereka sendiri!
SMO4_JB	932684C9	Putar balik lewatin mereka, bro!
SMO4_JC	E421B45F	Persetan sama itu, kita lewat rute pemandangan aja!
SMO4_JD	7A4521FC	Houston, peluncuran roket dimulai!
SMO4_JE	0D42116A	GOSONG LU, PARA KEPARAT!
SMO4_JF	944B40D0	Itu terowongan pembuangan lama di depan!
SMO4_JG	E34C7046	Tembak hancur gerbangnya!
SMO4_JH	73F36DD7	Kerja bagus, CJ, ayo gaskan!
SMO4_JJ	9DFD0CFB	Gerbangnya, Carl, GERBANGNYA!
SMO4_JK	EAFA3C6D	Bro, gue dulu benci terowongan ini pas kita masih bocah.
SMO4_JL	749EA9CE	Woy, kita bisa bernostalgia belakangan, kita masih ditemenin musuh nih!
SMO4_JM	03999958	Jalannya mulai sempit banget!
SMO4_JN	9A90C8E2	Sialan ini sempit banget!
SMO4_JO	ED97F874	Mereka masih mengejar kita.
SMO4_JP	609FF581	Orang-orang ini kagak bakal pernah menyerah apa?
SMO4_JQ	1798C517	Akhirnya!
SMO4_JR	8E9194AD	Kita aman!
SMO4_JS	F996A43B	Kita berhasil menghilangkan jejak mereka, Smoke!
SMO4_KA	1334E432	Bro, mending kita pisah jalan.
SMO4_KB	8A3DB588	Gue setuju.
SMO4_KC	FD3A851E	Gue bakal membawa motor ini satu blok lagi terus membuangnya.
SMO4_KD	635E10BD	Bro, hal yang gila banget di belakang sana tadi!
SMO4_KE	1459202B	Yoi, pasti lah.
SMO4_KF	8D507191	Dengerin kita kagak bisa nongkrong lama-lama di sini - ntar gue temuin lu lagi belakangan, bro.
SMO4_KG	FA574107	Salam hangat, sayang!
SMO4A00	EE458BDF	Woy, CJ, sayang, ada apaan bro?
SMO4A01	9942BB49	Ada cerita apaan, Smoke?
SMO4A02	004BEAF3	Lagi santai. Mau jalan-jalan naik mobil kagak?
SMO4A03	774CDA65	Yoi.
SMO4A04	E9284FC6	Lu yang nyetir.
SMO4A05	9E2F7F50	Sip lah.
SMO4A06	07262EEA	Kita mau pergi ke pusat kota.
