# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



MCES11A	6507C29C	Eh Cesar!
SYN4A10	5279D3A3	aku tadi mikir mau mengelas beberapa barang jadi satu,
SYN4A11	257EE335	dan membuat alat peredam suara (*silencer*) sendiri!
SYN4A12	BC77B28F	Kamu benar-benar gila, kawan (*holmes*)!
SYN4A13	CB708219	Kamu harus keluar dari mentalitas anak jalanan kumuh (*ghetto*) ini!
SYN4A14	551417BA	Terus apa rencana mu?
SYN4A15	2213272C	Nih, pakai punyaku saja.
SYN4A16	BB1A7696	Dapat dari mana itu?
SYN4A17	CC1D4600	Dari tempat yang sama waktu aku beli celana, kawan (*holmes*). Ini Amerika!
SYN4A18	5CA25B91	Biar kutunjukkan. Lihat ini, kawan (*holmes*).
SYN4B00	49245CBB	Beri aku ruang. Beri aku ruang, jalang!
SYN4B01	3E236C2D	Sudah tiba waktunya lagi dalam seminggu ini —
SYN4B02	A72A3D97	penyedia jasamu akan segera melakukan panggilan spesial itu.
SYN4B03	D02D0D01	Kalau sampai tebakanku benar bahwa ada salah satu dari kalian yang berbuat curang padaku...
SYN4B04	4E4998A2	Sebaiknya kau beri setoran lebih besar minggu ini Jiz. Jatah kita menipis, sayang!
SYN4B05	394EA834	- Diam kau jalang, aku sedang mengurus bisnis!~n~- Beraninya kau membentakku, keparat!
SYN4B06	A047F98E	Beraninya kau membentakku, keparat!
SYN4B07	D740C918	Sekarang diamlah, jalang!
SYN4B08	47FFD489	Woy, Jizzy, aku perlu ngobrol sebentar denganmu.
SYN4B09	30F8E41F	Kalau begitu bicaralah, kawan. Maksudku, cuma itu yang selalu kita lakukan.
SYN4B10	503F6DFA	Sepatah kata mutiara di sini, pepatah bijak di sana.
SYN4B11	27385D6C	Sial, aku ini seperti buku peribahasa berjalan.
SYN4B12	BE310CD6	Nggak, kau sudah mengacaukannya.
SYN4B13	C9363C40	T... Tunggu sebentar, bro. Woy, aku kan cuma salah paham, tahu kan?
SYN4B14	5752A9E3	Aku tidak sempurna — kau tahu, seperti... hei.
SYN4B15	20559975	Bukan orang yang baik. Bukan orang yang bijak, tahu kan. Bukan orang yang pintar,
SYN4B16	B95CC8CF	tapi Demi Tuhan, aku sudah berusaha!
SYN4B17	CE5BF859	Nggak. Kau mengacaukannya saat kau mempercayaiku, kawan (*playa*).
SYN4B18	5EE4E5C8	Kau ini penjual tubuh wanita, pengedar kokain, seonggok sampah keparat.
SYN4B19	29E3D55E	Ya ampun! Tunggu apa lagi kalian, hah? Cepat habisi nigger ini, bro!
SYN4B20	7B123E39	Pantat sialanmu itu...
SYN4B21	0C150EAF	Ayolah, sayang... Aku... Aku... Tapi... Tapi...
