# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SWE4_00	10003CF9	~s~Masuk ke dalam ~b~mobil~s~.
SWE4_MD	DDF98E67	Mau ke mana CJ? Masih ada lagi anak-anak Ballas yang harus ditembak mati.
SWE4_NA	86BE292B	CJ! Kau benar-benar bikin repot, bro!
SWE4_NB	1FB77891	Polisi mengejar kita lagi!
SWE4_NC	68B04807	CJ! Apa kau mau membuat kita tertangkap?
SWE4_OA	9FA5186A	Ayolah, CJ, kita harus hilangkan perhatian polisi ini!
SWE4_OB	06AC49D0	CJ, bawa kita ke bengkel cat!
SWE4_OC	71AB7946	Ayolah, CJ, bawa kita ke tempat yang aman!
SWE4_PA	52FF16F4	Tadi aku ngomong apa, ya?
SWE4_PB	CBF6474E	Woy, tadi kita teriak-teriak soal apa, sih?
SWE4_PC	BCF177D8	Oke, kita aman. Sekarang aku tadi ngomong apa?
SWE4A00	06B8B283	Aku bisa menyetir sebaik CJ, bro, kubilang juga apa.
SWE4A01	71BF8215	Woy, kawan, ada apa?
SWE4A02	E8B6D3AF	Woy, apa yang kau bicarakan soal aku, bego?
SWE4A03	9FB1E339	Aku bilang kalau masa tinggal di Pantai Timur bikin cara nyetirmu jadi kayak orang bodoh, bego!
SWE4A04	01D5769A	Bro, kau selalu menabrakkan mobil dan semacamnya.
SWE4A05	76D2460C	Dan entah kenapa sekarang setelah kau kembali,
SWE4A06	EFDB17B6	yang terdengar cuma 'CJ setir ke sini, CJ setir ke situ.' Omong kosong!
SWE4A07	98DC2720	Bro, kenapa kau tidak santai saja.
SWE4A08	08633AB1	Bukannya bermaksud tidak sopan, bro, tapi kau memang payah menyetir!
SWE4A09	7F640A27	Terima kasih, bro. Tidak, tidak, tidak, katakan apa maksudmu yang sebenarnya.
SWE4A10	1FA383C2	Karena kau penembak jitu yang hebat, kawan, kau harus duduk di kursi penumpang.
SWE4A11	68A4B354	Tunjukkan pada CJ kehebatanmu.
SWE4A12	F1ADE2EE	Woy, kau tahu sesuatu - kau benar. Yoi, CJ, kau bisa menyetir, kawan.
SWE4A13	86AAD278	Woy, ada apa, bro?
SWE4A14	18CE47DB	Dia lagi halu.
