# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	916640AB	Lu lagi bertanding ngelawan catatan waktu terbaik lu sendiri. Pencet ~m~~widget_mission_cancel~ buat melewati misi ini.
QUAR_F0	58FF5CB4	~r~Melewati batas waktu.
QUAR_F1	2FF86C22	~r~Buldoser hancur.
QUAR_F2	B6F13D98	~r~Truk jungkit hancur.
QUAR_F3	C1F60D0E	~r~Lu menjatuhkan muatan lu!
QUAR_F4	5F9298AD	~r~Polisi udah mendarat.
QUAR_F5	2895A83B	~r~Truk pengiriman udah mendarat.
QUAR_F6	B19CF981	~r~Bomnya meledak.
QUAR_F7	C69BC917	~r~Terlalu deket.
QUAR_F8	5624D486	~r~Lu menjatuhkan mayat-mayatnya.
QUAR_F9	2123E410	~r~Drum-drumnya meledak.
QUAR_FA	7FFD1D1E	~r~Bahan peledak di atas jalur rel.
QUAR_FB	E6F44CA4	~r~Kereta api hancur.
QUAR_FC	91F37C32	~r~Terlalu jauh.
QUAR_FD	0F97E991	~r~Para pemasang bom nyampe ke tempat aman.
QUAR_H1	B17B41AC	Tekan ~m~~widget_auto_hydraulics~ buat menaikkan dan menurunkan muatan Truk Jungkit.
QUAR_H2	28721016	Lu lagi bertanding ngelawan catatan waktu terbaik lu sendiri. Ketuk ~m~~widget_mission_cancel~ buat melewati misi ini.
QUAR_H3	5F752080	Truk jungkit sama buldoser sekarang bakal selalu tersedia di tambang batu.
QUAR_H4	C111B523	Jangan biarin Truk Jungkit ikut masuk ngikutin motor sama mayat ke dalam air.
QUAR_P1	3360D9F5	~s~Lu udah menyelesaikan misi tambang batu pertama lu. Balik ke kantor lokasi buat misi lainnya.
QUAR_P2	AA69884F	Misi Tambang Batu Selesai!
QUAR_P3	DD6EB8D9	~s~Lu udah menyelesaikan semua misi tambang batu.
QUAR_P4	430A2D7A	~s~~1~ misi tambang batu berhasil diselesaikan.
QUAR_P5	340D1DEC	~s~Lu menyamai catatan waktu terbaik lu!
QUAR_P6	AD044C56	~s~Lu mencetak catatan waktu terbaik baru - ~1~m ~1~s. Misi tambang batu sekarang udah diselesaikan dalam ~1~m ~1~s.
QUAR_P7	DA037CC0	~s~Misi tambang batu selesai dalam ~1~m ~1~s. Di misi mendatang lu bakal bertanding ngelawan catatan waktu terbaik lu sendiri.
SKIPPED	1BDC0CE7	DILEWATI!
